,lon,lat,name,number
397,116.44198,39.896102,东城 - 金桥国际公寓,79
398,116.408808,39.889647,东城 - 金鱼池中区,4
399,116.407027,39.891589,东城 - 金鱼池中街一号院,2
400,116.408808,39.889647,东城 - 金鱼池小区,16
401,116.406666,39.889493,东城 - 金鱼池西区,12
402,116.393270,39.944166,东城 - 钟楼四合院,8
403,116.404315,39.921802,东城 - 银闸小区,2
404,116.407497,39.916607,东城 - 锡拉胡同21号院,1
405,116.408906,39.916325,东城 - 锡拉胡同,6
406,116.407397,39.916474,东城 - 锡拉胡同23号院,2
407,116.413867,39.927855,东城 - 钱粮胡同,5
408,116.430907,39.961779,东城 - 锦鸿阁,58
409,116.427272,39.876645,东城 - 长青园,19
410,116.440711,39.935656,东城 - 阳光都市,84
411,116.407140,39.932866,东城 - 阳春胡同,2
412,116.420155,39.950516,东城 - 雍和家园,22
413,116.408105,39.909966,东城 - 霞公府,21
414,116.416637,39.962856,东城 - 青年沟23号院,3
415,116.406559,39.956065,东城 - 青年湖东里,30
416,116.405466,39.959900,东城 - 青年湖北街,2
417,116.405762,39.957817,东城 - 青年湖北里,6
418,116.398583,39.954445,东城 - 青年湖西里,15
419,116.415673,39.944938,东城 - 青炭局胡同,3
420,116.408233,39.916936,东城 - 韶九胡同,1
421,116.441681,39.893102,东城 - 领行国际,12
422,116.441681,39.893102,东城 - 领行国际中心,1
423,116.438988,39.946930,东城 - 香河园,3
424,116.437245,39.952067,东城 - 香河园北里,32
425,116.412494,39.939283,东城 - 香饵胡同,8
426,116.405060,39.919681,东城 - 骑河楼大街小区,2
427,116.424471,39.923844,东城 - 鸿安国际大厦,5
428,116.414323,39.931496,东城 - 魏家胡同,3
429,116.403757,39.958385,东城 - 黄寺大街2号院,4
430,116.409358,39.864638,东城 - 鼎盛园,3
431,116.402850,39.940942,东城 - 鼓楼东大街小区,9
432,116.396670,39.938943,东城 - 鼓楼辛安里胡同,1
433,116.437181,39.882061,东城 - 龙潭北里,3
434,116.437030,39.881620,东城 - 龙潭北里小区,5
435,116.427083,39.879753,东城 - 龙潭西里,15
436,116.437478,39.88292,东城 - 龙腾阁,1
437,116.386495,39.853817,丰台 - 10AM新坐标,51
438,116.433869,39.847763,丰台 - 3G木兰公寓,1
439,116.385346,39.839408,丰台 - 7克拉,42
440,116.423069,39.86657,丰台 - GOGO新世代,89
441,116.332613,39.850245,丰台 - cuv国际公寓,2
442,116.386025,39.839839,丰台 - 七克拉公寓,9
443,116.289749,39.859028,丰台 - 七里庄路,2
444,116.321598,39.843846,丰台 - 万年花城一期,112
445,116.322902,39.840632,丰台 - 万年花城三期,21
446,116.318657,39.846298,丰台 - 万年花城二期,64
447,116.312421,39.843750,丰台 - 万年花城五期,13
448,116.315288,39.846187,丰台 - 万年花城四期,51
449,116.324219,39.841752,丰台 - 万年花城回迁房,6
450,116.320328,39.843884,丰台 - 万年花城尚品西区,2
451,116.24944,39.865,丰台 - 万恒家园,4
452,116.335311,39.850588,丰台 - 万柳园小区,8
453,116.342578,39.865001,丰台 - 万泉寺东路9号院,2
454,116.342603,39.865766,丰台 - 万泉寺北路10号院,6
455,116.34079,39.859946,丰台 - 万泉寺南里,7
456,116.342008,39.866482,丰台 - 万泉寺小区,1
457,116.339211,39.857175,丰台 - 万润风景,6
458,116.427647,39.800674,丰台 - 万源东里,1
459,116.425773,39.797387,丰台 - 万源南里,2
460,116.250003,39.867065,丰台 - 万科中粮假日风景,2
461,116.2656,39.882275,丰台 - 万科紫台,8
462,116.244970,39.865747,丰台 - 万科紫苑,8
463,116.429908,39.84631,丰台 - 万科红,3
464,116.297706,39.814974,丰台 - 万科蓝,23
465,116.318657,39.846298,丰台 - 万芳园一区,14
466,116.315288,39.846187,丰台 - 万芳园二区,5
467,116.383869,39.834909,丰台 - 三星庄园,4
468,116.305931,39.851339,丰台 - 三环新城,146
469,116.333665,39.873641,丰台 - 三路居99号院,6
470,116.387638,39.836214,丰台 - 上海建筑,11
471,116.418206,39.836043,丰台 - 世华水岸,17
472,116.398758,39.817964,丰台 - 世嘉丽晶,5
473,116.435425,39.857673,丰台 - 世纪星,2
474,116.435425,39.857673,丰台 - 世纪星家园,7
475,116.372109,39.869255,丰台 - 世纪金色嘉园,12
476,116.384871,39.854485,丰台 - 东丽温泉家园,15
477,116.371767,39.837021,丰台 - 东亚三环中心,4
478,116.294472,39.856419,丰台 - 东大街30号院,3
479,116.293354,39.855794,丰台 - 东大街35号院,8
480,116.298382,39.862883,丰台 - 东大街6号院,26
481,116.295647,39.865352,丰台 - 东大街东里,19
482,116.294821,39.856474,丰台 - 东大街小区,5
483,116.29225,39.861644,丰台 - 东大街西里,25
484,116.28009,39.849551,丰台 - 东安街头条,1
485,116.278207,39.85046,丰台 - 东安街头条15号院,1
486,116.404251,39.857296,丰台 - 东木樨园,13
487,116.373043,39.869701,丰台 - 东滨河路小区,4
488,116.295637,39.855738,丰台 - 东营里,9
489,116.299915,39.855852,丰台 - 东营里1号院,1
490,116.299808,39.855269,丰台 - 东营里2号院,2
491,116.298384,39.855916,丰台 - 东营里3号院,2
492,116.296118,39.855849,丰台 - 东营里5号院,19
493,116.431204,39.856895,丰台 - 东铁营横一条,7
494,116.42081,39.807325,丰台 - 东高地社区,2
495,116.192207,39.835617,丰台 - 中体奥林匹克花园,1
496,116.185665,39.833314,丰台 - 中体首站,3
497,116.340620,39.835997,丰台 - 中国铁建青秀城,1
498,116.278595,39.880800,丰台 - 中堂,3
499,116.185665,39.833314,丰台 - 中奥广场首站,1
500,116.277333,39.881538,丰台 - 中堂紫熙台公寓,5
501,116.296466,39.884102,丰台 - 中景未山赋,2
502,116.295990,39.817889,丰台 - 中海九号公馆,52
503,116.291269,39.816165,丰台 - 中海九号公馆一区,1
504,116.447400,39.846040,丰台 - 中海城二期,12
505,116.453470,39.838961,丰台 - 中海城圣朝菲,41
506,116.446186,39.846772,丰台 - 中海城紫鑫阁,46
507,116.448481,39.843782,丰台 - 中海城风情苑,29
508,116.449010,39.838509,丰台 - 中海城香克林,3
509,116.299306,39.818223,丰台 - 中海御鑫阁,96
510,116.282828,39.818385,丰台 - 中海苏黎世家,48
511,116.270088,39.866729,丰台 - 丰体时代家园,1
512,116.227347,39.874023,丰台 - 丰仪家园,2
513,116.270088,39.866729,丰台 - 丰体时代花园,35
514,116.368411,39.852913,丰台 - 丰开苑,1
515,116.290863,39.835305,丰台 - 丰泽居,6
516,116.310767,39.859206,丰台 - 丰益城市花园,15
517,116.312842,39.861019,丰台 - 丰益花园,68
518,116.297730,39.856940,丰台 - 丰管路56号院,8
519,116.300993,39.857223,丰台 - 丰管路甲52号院,13
520,116.252639,39.838002,丰台 - 丰西北里,2
521,116.306597,39.864549,丰台 - 丽泽景园,172
522,116.322846,39.87073,丰台 - 丽泽雅园,29
523,116.408086,39.819703,丰台 - 久敬佳园,1
524,116.165637,39.81498,丰台 - 云岗北区,13
525,116.157379,39.808167,丰台 - 云岗南区,11
526,116.146668,39.821873,丰台 - 云岗田城,2
527,116.155595,39.810143,丰台 - 云岗西路10号院,1
528,116.154089,39.810275,丰台 - 云岗西路小区,1
529,116.377450,39.801192,丰台 - 五爱屯西街,1
530,116.258593,39.85473,丰台 - 五里店南里,3
531,116.393457,39.850852,丰台 - 京品,1
532,116.382614,39.844826,丰台 - 京投快线阳光花园,7
533,116.304455,39.812862,丰台 - 京投银泰万科西华府,28
534,116.277961,39.894328,丰台 - 京铁家园,8
535,116.310996,39.820806,丰台 - 亿城天筑,25
536,116.335988,39.843595,丰台 - 亿朋苑,25
537,116.317889,39.852448,丰台 - 优筑,26
538,116.317889,39.852448,丰台 - 优筑国际公寓,1
539,116.283787,39.873061,丰台 - 保利欣苑,5
540,116.304467,39.876842,丰台 - 保利百合花园,68
541,116.279237,39.833753,丰台 - 保温段小区,1
542,116.249184,39.890930,丰台 - 兆丰园,16
543,116.24892,39.891005,丰台 - 兆丰园三区,1
544,116.249752,39.888841,丰台 - 兆丰园南区,3
545,116.24645,39.891328,丰台 - 兆丰馨园,30
546,116.370692,39.790874,丰台 - 公园懿府,18
547,116.303646,39.882808,丰台 - 六里桥10号院,21
548,116.306178,39.884283,丰台 - 六里桥3号院,8
549,116.30493,39.884384,丰台 - 六里桥7号院,2
550,116.310066,39.890285,丰台 - 六里桥北里,36
