,lon,lat,name,number,location
4727,116.640374,39.898378,通州 - 杨庄11号院,3,通州
4728,116.633674,39.898723,通州 - 杨庄22号院,17,通州
4729,116.633744,39.898438,通州 - 杨庄路22号,5,通州
4730,116.652647,39.895522,通州 - 果园225号院,1,通州
4731,116.653286,39.895513,通州 - 果园西小区,4,通州
4732,116.64557,39.876746,通州 - 旗舰凯旋,27,通州
4733,116.678449,39.888494,通州 - 柳岸方园,19,通州
4734,116.543671,39.750147,通州 - 样本,11,通州
4735,116.673752,39.88968,通州 - 格兰晴天,9,通州
4736,116.64509,39.886163,通州 - 格瑞雅居,34,通州
4737,116.659782,39.867628,通州 - 桃花岛,1,通州
4738,116.68247,39.882465,通州 - 梨园东里,2,通州
4739,116.674503,39.884946,通州 - 梨园北小区,3,通州
4740,116.675702,39.881608,通州 - 梨园新村,12,通州
4741,116.573831,39.807914,通州 - 次渠北里,9,通州
4742,116.576329,39.799871,通州 - 次渠南里,4,通州
4743,116.586455,39.795099,通州 - 次渠嘉园,32,通州
4744,116.665753,39.881412,通州 - 时尚街区西区,5,通州
4745,116.700218,39.91886,通州 - 武夷花园小区,1,通州
4746,116.65858500000002,39.879784,通州 - 映翠居,1,通州
4747,116.705593,39.919702,通州 - 武夷花园月季园,2,通州
4748,116.693775,39.914625,通州 - 武夷花园水仙园,3,通州
4749,116.697131,39.919231,通州 - 武夷花园牡丹园,12,通州
4750,116.702015,39.919617,通州 - 武夷花园紫荆园,2,通州
4751,116.701789,39.920112,通州 - 武夷花园紫荆雅园,1,通州
4752,116.649093,39.911742,通州 - 永顺南里,1,通州
4753,116.636497,39.908743,通州 - 河和居,5,通州
4754,116.669967,39.881661,通州 - 泉蔷佳苑,7,通州
4755,116.659345,39.906072,通州 - 潇雅居,4,通州
4756,116.670597,39.93382,通州 - 潞苑嘉园,6,通州
4757,116.544953,39.757378,通州 - 潼关一区,2,通州
4758,116.665149,39.869539,通州 - 海棠湾,9,通州
4759,116.544466,39.754071,通州 - 潼关三区,6,通州
4760,116.545166,39.75695200000001,通州 - 潼关小区,1,通州
4761,116.704283,39.914137,通州 - 武夷花园荔景园,1,通州
4762,116.647739,39.901304,通州 - 玉带河西街,2,通州
4763,116.681411,39.893941,通州 - 玉桥北里,12,通州
4764,116.675923,39.898629,通州 - 玉桥家园,1,通州
4765,116.683386,39.927692,通州 - 王家场,3,通州
4766,116.682207,39.931693,通州 - 珠江丽景家园,14,通州
4767,116.583326,39.760086,通州 - 珠江四季悦城,1,通州
4768,116.686923,39.932562,通州 - 珠江国际城,5,通州
4769,116.687463,39.938106,通州 - 珠江拉维小镇,18,通州
4770,116.57906,39.816136,通州 - 泰禾1号街区,5,通州
4771,116.543027,39.739574,通州 - 珠江逸景家园,1,通州
4772,116.679213,39.865109,通州 - 瑞都公园世家,3,通州
4773,116.655834,39.887433,通州 - 瑞都国际,74,通州
4774,116.67968799999998,39.89030800000001,通州 - 玉桥南里,4,通州
