,name,area,house_type,floor,price,url,average_price
1009,房山 - 熙悦山,60.0,2室1厅,4/10,3300,http://m.fang.com/zf/bj/JHAGT_390096580_2326fb52792129a478f75491e25dabc0_165931823.html,55.0
1010,丰台 - 欣园铁路小区,62.0,2室1厅,3/6,4000,http://m.fang.com/zf/bj/JHAGT_390672573_8741ab8019b7b6ffb446913947132243_165268436.html,64.0
1011,朝阳 - 艺水芳园,62.0,1室1厅,1/15,4100,http://m.fang.com/zf/bj/JHAGT_389278691_0f41302319cdb7209060af64b2bd8731_165934029.html,66.0
1012,西城 - 南礼士路三条,45.0,1室1厅,1/1,2800,http://m.fang.com/zf/bj/JHAGT_389787481_0824eb0146560383086dfd5af79180b9_165909318.html,62.0
1013,丰台 - 嘉园二里,76.0,2室1厅,3/6,4500,http://m.fang.com/zf/bj/JHAGT_389084814_8d471cd65e6b48e83fc19a57f43cf38d_164705905.html,59.0
1014,朝阳 - 卡夫卡公社,64.0,1室1厅,4/11,4400,http://m.fang.com/zf/bj/JHAGT_390926228_76da8fd571efe0fc49436abcdc0d9a33_160333856.html,68.0
1015,朝阳 - 卡夫卡公社,64.0,1室1厅,11/13,4000,http://m.fang.com/zf/bj/JHAGT_390926267_6241b8e8bb697ce6ffd2e5b9bf0b6f6f_160333856.html,62.0
1016,朝阳 - 光华里小区,65.0,2室1厅,3/4,4200,http://m.fang.com/zf/bj/JHAGT_390909356_af1b736f28a0693e3a0dcc4f96ee990a_162953319.html,64.0
1017,通州 - 花涧溪,52.0,1室1厅,9/11,2900,http://m.fang.com/zf/bj/JHAGT_390393521_be664ab4007f3c5d7a7acf71a82fc55d_165334579.html,55.0
1018,昌平 - 融泽嘉园,63.0,1室1厅,19/32,4100,http://m.fang.com/zf/bj/JHAGT_376896996_bd31cdf536b4c0f1d45b47c70941efaf_164278161.html,65.0
1019,顺义 - 观林阁,60.0,1室1厅,10/11,4000,http://m.fang.com/zf/bj/JHAGT_389991502_0902a1f349b50477104c7a4a562c5b66_165272703.html,66.0
1020,顺义 - 后街花园,70.0,1室1厅,5/6,4200,http://m.fang.com/zf/bj/JHAGT_389991647_58f58aedfc27f6ddc7657abaf232dcee_165272703.html,60.0
1021,通州 - BOBO自由城,60.0,1室1厅,4/15,3600,http://m.fang.com/zf/bj/JHAGT_388971332_1833cedc9dbf74d639e9a72275e4ab59_165852997.html,60.0
1022,丰台 - 葛村西里,68.0,2室1厅,6/6,4500,http://m.fang.com/zf/bj/JHAGT_390926583_6f77cdce1d0be672859923b19773cd86_165243983.html,66.0
1023,东城 - 管村26号院,69.0,2室1厅,5/6,4800,http://m.fang.com/zf/bj/JHAGT_390071430_14d6062728aa9d5ccf7c653c8aa1addd_165854133.html,69.0
1024,丰台 - 泥洼路5号院,55.0,1室1厅,5/6,3400,http://m.fang.com/zf/bj/JHAGT_390336679_21ebab472a2e5a2a4da50e005e2ba05f_164408417.html,61.0
1025,大兴 - 宣颐家园,65.0,1室1厅,2/6,4400,http://m.fang.com/zf/bj/JHAGT_382853078_d2ae06935e24de37855e5f1a32bc894a_165872889.html,67.0
1026,海淀 - 西山国际城,70.0,1室1厅,4/6,4500,http://m.fang.com/zf/bj/JHAGT_389734835_c03b9557cd8316353decab9967675f26_165138961.html,64.0
1027,通州 - 新华联家园,50.0,1室1厅,9/11,3099,http://m.fang.com/zf/bj/JHAGT_390254029_9ae62d8cc8285fedc5a3ba218f9742a4_164591721.html,61.0
1028,大兴 - 庑殿家苑,62.0,1室1厅,12/14,3800,http://m.fang.com/zf/bj/JHAGT_389591780_6dc38b6b2dc91b6b5d61ef4ce6255db1_165806649.html,61.0
1029,通州 - 武夷花园紫荆园,60.0,1室1厅,4/27,3300,http://m.fang.com/zf/bj/JHAGT_389553578_75a31050427b31b6984fa282fd17a113_165807845.html,55.0
1030,门头沟 - 惠民家园,48.0,1室1厅,11/15,2800,http://m.fang.com/zf/bj/JHAGT_390101676_96d7664a2a28db41cc8a9f30b431b8d8_164723182.html,58.0
1031,房山 - 首开熙悦睿府书香,40.0,1室1厅,15/17,2200,http://m.fang.com/zf/bj/JHAGT_389632169_0abf40eb49c1b232e759380d4efae1ac_165036751.html,55.0
1032,丰台 - 万年花城一期,75.0,1室1厅,12/27,4400,http://m.fang.com/zf/bj/JHAGT_386994381_684bcc964cac8ba26f27f249290ba1f4_165244682.html,58.0
1033,朝阳 - 向军北里,54.0,2室1厅,5/6,3200,http://m.fang.com/zf/bj/JHAGT_390379906_b030d0e8593fd4bde1883a51a2f478f7_164800724.html,59.0
1034,丰台 - 青塔蔚园,78.0,2室1厅,8/20,4800,http://m.fang.com/zf/bj/JHAGT_390165884_75a8d91aaff88963394e552ab2f18de2_165851632.html,61.0
